numero carta;nome carta;descrizione
159;Codex-Touched;When 4 or more of the domain cards in your loadout are from the Codex domain, gain the following beneﬁts: • You can mark a Stress to add your Proﬁciency to a Spellcast Roll. • Once per rest, replace this card with any card from your vault without paying its Recall Cost. Cybercatbug
116;Blade-Touched;When 4 or more of the domain cards in your loadout are from the Blade domain, gain the following beneﬁts: • +2 bonus to your attack rolls • +4 bonus to your Severe damage threshold Simon Pape
138;CRUEL PRECISION;When you make a successful attack with a weapon, gain a bonus to your damage roll equal to either your Finesse or Agility. Maxime Minard
179;Endless Charisma;After you make an action roll to persuade, lie, or garner favor, you can spend a Hope to reroll the Hope or Fear Die. Samantha B. Lucas
180;Grace-Touched;When 4 or more of the domain cards in your loadout are from the Grace domain, gain the following beneﬁts: • You can mark an Armor Slot instead of marking a Stress. • When you would force a target to mark a number of Hit Points, you can choose instead to force them to mark that number of Stress. Juan Salvador Almencion
221;Sage-Touched;When 4 or more of the domain cards in your loadout are from the Sage domain, gain the following beneﬁts: • While you're in a natural environment, you gain a +2 bonus to your Spellcast Rolls. • Once per rest, you can double your Agility or Instinct when making a roll that uses that trait. You must choose to do this before you roll. Juan Salvador Almencion
243;Splendor-Touched;When 4 or more of the domain cards in your loadout are from the Splendor domain, gain the following beneﬁts: • +3 bonus to your Severe damage threshold • Once per long rest, when incoming damage would require you to mark a number of Hit Points, you can choose to mark that much Stress or spend that much Hope instead. Daarken
200;Midnight-Touched;When 4 or more of the domain cards in your loadout are from the Midnight domain, gain the following beneﬁts: • Once per rest, when you have 0 Hope and the GM would gain a Fear, you can gain a Hope instead. • When you make a successful attack, you can mark a Stress to add the result of your Fear Die to your damage roll. Joshua Rodriguez
222;Wild surge;Once per long rest, mark a Stress to channel the natural world around you and enhance yourself. Describe how your appearance changes, then place a d6 on this card with the 1 value facing up. While the Wild Surge Die is active, you add its value to every action roll you make. After you add its value to a roll, increase the Wild Surge Die's value by one. When the die's value would exceed 6 or you take a rest, this form drops and you must mark an additional Stress. Ryan Christian Rodero
263;Shrug It Off;When you would take damage, you can mark a Stress to reduce the severity of the damage by one threshold. When you do, roll a d6. On a result of 3 or lower, place this card in your vault. Rafater
201;Vanishing dodge;When an attack made against you that would deal physical damage fails, you can spend a Hope to envelop yourself in shadow, becoming Hidden and teleporting to a point within Close range of the attacker. You remain Hidden until the next time you make an action roll. Arturo Gutiérrez González
242;healing strike;When you deal damage to an adversary, you can spend 2 Hope to clear a Hit Point on an ally within Close range. Juan Salvador Almencion
264;Valor-Touched;When 4 or more of the domain cards in your loadout are from the Valor domain, gain the following beneﬁts: • +1 bonus to your Armor Score • When you mark 1 or more Hit Points without marking an Armor Slot, clear an Armor Slot. Daarken
097;Arcane Reflection;When you would take magic damage, you can spend any number of Hope to roll that many d6s. If any roll a 6, the attack is reflected back to the caster, dealing the damage to them instead. Carlos Cardona
119;Frenzy;Once per long rest, you can go into a Frenzy until there are no more adversaries within sight. While Frenzied, you can't use Armor Slots, and you gain a +10 bonus to your damage rolls and a +8 bonus to your Severe damage threshold. Edgar Cardona
160;Book of Vyola;Memory Delve: Make a Spellcast Roll against a target within Far range. On a success, peer into the target's mind and ask the GM a question. The GM describes any memories the target has pertaining to the answer. Shared Clarity: Once per long rest, spend a Hope to choose two willing creatures. When one of them would mark Stress, they can choose between the two of them who marks it. This spell lasts until their next rest. Eliot Baum
098;Confusing Aura;Make a Spellcast Roll (14). Once per long rest on a success, you create a layer of illusion over your body that makes it hard to tell exactly where you are. Mark any number of Stress to make that many additional layers. When an adversary makes an attack against you, roll a number of d6s equal to the number of layers currently active. If any roll a 5 or higher, one layer of the aura is destroyed and the attack fails. If all the results are 4 or lower, you take the damage and this spell ends. Simon Pape
139;BREAKING Blow;When you make a successful attack, you can mark a Stress to make the next successful attack against that same target deal an extra 2d12 damage. Mat Wilma
161;Safe Haven;When you have a few minutes of calm to focus, you can spend 2 Hope to summon your Safe Haven, a large interdimensional home where you and your allies can take shelter. When you do, a magical door appears somewhere within Close range. Only creatures of your choice can enter. Once inside, you can make the entrance invisible. You and anyone else inside can always exit. Once you leave, the doorway must be summoned again. When you take a rest within your own Safe Haven, you can choose an additional downtime move. Dominik Mayer
118;Battle Cry;Once per long rest, while you're charging into danger, you can muster a rousing call that inspires your allies. All allies who can hear you each clear a Stress and gain a Hope. Additionally, your allies gain advantage on attack rolls until you or an ally rolls a failure with Fear. Daarken
140;Wrangle;Make an Agility Roll against all targets within Close range. Spend a Hope to move targets you succeed against, and any willing allies within Close range, to another point within Close range. Samantha Kung
181;Astral Projection;Once per long rest, mark a Stress to create a projected copy of yourself that can appear anywhere you've been before. You can see and hear through the projection as though it were you and affect the world as though you were there. A creature investigating the projection can tell it's of magical origin. This effect lasts until your next rest or your projection takes any damage. Dominik Mayer
182;Mass Enrapture;Make a Spellcast Roll against all targets within Far range. Targets you succeed against become temporarily Enraptured. While Enraptured, a target's attention is ﬁxed on you, narrowing their ﬁeld of view and drowning out any sound but your voice. Mark a Stress to force all Enraptured targets to mark a Stress, ending this spell. Daarken
223;Forest Sprites;Make a Spellcast Roll (13). On a success, spend any number of Hope to create an equal number of small forest sprites who appear at points you choose within Far range, providing the following beneﬁts: • Your allies gain a +3 bonus to attack rolls against adversaries within Melee range of a sprite. • An ally who marks an Armor Slot while within Melee range of a sprite can mark an additional Armor Slot. A sprite vanishes after granting a beneﬁt or taking any damage. Ilya Royz
245;Stunning Sunlight;Make a Spellcast Roll to unleash powerful rays of burning sunlight against all adversaries in front of you within Far range. On a success, spend any number of Hope and force that many targets you succeeded against to make a Reaction Roll (14). Targets who succeed take 3d20+3 magic damage. Targets who fail take 4d20+5 magic damage and are temporarily Stunned. While Stunned, they can't use reactions and can't take any other actions until they clear this condition. Anthony Jones
202;shadowhunter;Your prowess is enhanced under the cover of shadow. While you're shrouded in low light or darkness, you gain a +1 bonus to your Evasion and make attack rolls with advantage. Samantha Kung
224;Rejuvenation Barrier;Make a Spellcast Roll (15). Once per rest on a success, create a temporary barrier of protective energy around you at Very Close range. You and all allies within the barrier when this spell is cast clear 1d4 Hit Points. While the barrier is up, you and all allies within have resistance to physical damage from outside the barrier. When you move, the barrier follows you. Bear Frymire
265;Full Surge;Once per long rest, mark 3 Stress to push your body to its limits. Gain a +2 bonus to all of your character traits until your next rest. Mike Azevedo
203;spellcharge;When you take magic damage, place tokens equal to the number of Hit Points you marked on this card. You can store a number of tokens equal to your Spellcast trait. When you make a successful attack against a target, you can spend any number of tokens to add a d6 for each token spent to your damage roll. Geoffrey Ernault
244;Shield Aura;Mark a Stress to cast a protective aura on a target within Very Close range. When the target marks an Armor Slot, they reduce the severity of the attack by an additional threshold. If this spell causes a creature who would be damaged to instead mark no Hit Points, the effect ends. You can only hold Shield Aura on one creature at a time. Danil Luzin
266;Ground Pound;Spend 2 Hope to strike the ground where you stand and make a Strength Roll against all targets within Very Close range. Targets you succeed against are thrown back to Far range and must make a Reaction Roll (17). Targets who fail take 4d10+8 damage. Targets who succeed take half damage. Rafater
099;Earthquake;Make a Spellcast Roll (16). Once per rest on a success, all targets within Very Far range who aren't flying must make a Reaction Roll (18). Targets who fail take 3d10+8 physical damage and are temporarily Vulnerable. Targets who succeed take half damage. Additionally, when you succeed on the Spellcast Roll, all terrain within Very Far range becomes difficult to move through and structures within this range might sustain damage or crumble. Eliot Baum
121;Reaper's Strike;Once per long rest, spend a Hope to make an attack roll. The GM tells you which targets within range it would succeed against. Choose one of these targets and force them to mark 5 Hit Points. Ilya Royz
162;Book of Ronin;Transform: Make a Spellcast Roll (15). On a success, transform into an inanimate object no larger than twice your normal size. You can remain in this shape until you take damage. Eternal Enervation: Once per long rest, make a Spellcast Roll against a target within Close range. On a success, they become permanently Vulnerable. They can't clear this condition by any means. Jenny Tan
100;Sensory Projection;Once per rest, make a Spellcast Roll (15). On a success, drop into a vision that lets you clearly see and hear any place you have been before as though you are standing there in this moment. You can move freely in this vision and are not constrained by the physics or impediments of a physical body. This spell cannot be detected by mundane or magical means. You drop out of this vision upon taking damage or casting another spell. Anthony Jones
141;On The brink;When you have 2 or fewer Hit Points unmarked, you don't take Minor damage. Juan Salvador Almencion
163;Disintegration Wave;Make a Spellcast Roll (18). Once per long rest on a success, the GM tells you which adversaries within Far range have a Difficulty of 18 or lower. Mark a Stress for each one you wish to hit with this spell. They are killed and can't come back to life by any means. Nick Acuna
120;GORE AND GLORY;When you critically succeed on a weapon attack, gain an additional Hope or clear an additional Stress. Additionally, when you deal enough damage to defeat an enemy, gain a Hope or clear a Stress. Simon Pape
142;Splintering Strike;Spend a Hope and make an attack against all adversaries within your weapon's range. Once per long rest, on a success against any targets, roll your weapon's damage and distribute that damage however you wish between the targets you succeeded against. Before you deal damage to each target, roll an additional damage die and add its result to the damage you deal to them. Gaboleps
183;Copycat;Once per long rest, this card can mimic the features of another domain card of level 8 or lower in another player's loadout. Spend Hope equal to half the card's level to gain access to the feature. It lasts until your next rest or they place the card in their vault. Cybercatbug
184;Master of the Craft;Gain a permanent +2 bonus to two of your Experiences or a permanent +3 bonus to one of your Experiences. Then place this card in your vault permanently. Anthony Jones
225;Fane of the Wilds;After a long rest, place a number of tokens equal to the number of Sage domain cards in your loadout and vault on this card. When you would make a Spellcast Roll, you can spend any number of tokens after the roll to gain a +1 bonus for each token spent. When you critically succeed on a Spellcast Roll for a Sage domain spell, gain a token. When you take a long rest, clear all unspent tokens. Anthony Avon
247;Salvation Beam;Make a Spellcast Roll (16). On a success, mark any number of Stress to target a line of allies within Far range. You can clear Hit Points on the targets equal to the number of Stress marked, divided among them however you'd like. Daarken
204;night terror;Once per long rest, choose any targets within Very Close range to perceive you as a nightmarish horror. The targets must succeed on a Reaction Roll (16) or become temporarily Horriﬁed. While Horriﬁed, they're Vulnerable. Steal a number of Fear from the GM equal to the number of targets that are Horriﬁed (up to the number of Fear in the GM's pool). Roll a number of d6s equal to the number of stolen Fear and deal the total damage to each Horriﬁed target. Discard the stolen Fear. Anthony Jones
226;Plant Dominion;Make a Spellcast Roll (18). Once per long rest on a success, you reshape the natural world, changing the surrounding plant life anywhere within Far range of you. For example, you can grow trees instantly, clear a path through dense vines, or create a wall of roots. Anthony Jones
267;Hold the Line;Describe the defensive stance you take and spend a Hope. If an adversary moves within Very Close range, they're pulled into Melee range and Restrained. This condition lasts until you move or fail a roll with Fear, or the GM spends 2 Fear on their turn to clear it. Laura Galli
205;Twilight Toll;Choose a target within Far range. When you succeed on an action roll against them that doesn't result in making a damage roll, place a token on this card. When you deal damage to this target, spend any number of tokens to add a d12 for each token spent to your damage roll. You can only hold Twilight Toll on one creature at a time. When you choose a new target or take a rest, clear all unspent tokens. Rafater
246;Overwhelming Aura;Make a Spellcast Roll (15) to magically empower your aura. On a success, spend 2 Hope to make your Presence equal to your Spellcast trait until your next long rest. While this spell is active, an adversary must mark a Stress when they target you with an attack. Eliot Baum
268;Lead By Example;When you deal damage to an adversary, you can mark a Stress and describe how you encourage your allies. The next PC to make an attack against that adversary can clear a Stress or gain a Hope. Jenny Tan
101;Adjust reality;After you or a willing ally make any roll, you can spend 5 Hope to change the numerical result of that roll to a result of your choice instead. The result must be plausible within the range of the dice. Geoffrey Ernault
123;ONSLAUGHT;When you successfully make an attack with your weapon, you never deal damage beneath a target's Major damage threshold (the target always marks a minimum of 2 Hit Points). Additionally, when a creature within your weapon's range deals damage to an ally with an attack that doesn't include you, you can mark a Stress to force them to make a Reaction Roll (15). On a failure, the target must mark a Hit Point. Maciej Wojtala
164;Book of YarRow;Timejammer: Make a Spellcast Roll (18). On a success, time temporarily slows to a halt for everyone within Far range except for you. It resumes the next time you make an action roll that targets another creature. Magic Immunity: Spend 5 Hope to become immune to magic damage until your next rest. Daarken
102;Falling Sky;Make a Spellcast Roll against all adversaries within Far range. Mark any number of Stress to make shards of arcana rain down from above. Targets you succeed against take 1d20+2 magic damage for each Stress marked. Katya Cyan
143;Deathrun;Spend 3 Hope to run a straight path through the battleﬁeld to a point within Far range, making an attack against all adversaries within your weapon's range along that path. Choose the order in which you deal damage to the targets you succeeded against. For the ﬁrst, roll your weapon damage with a +1 bonus to your Proﬁciency. Then remove a die from your damage roll and deal the remaining damage to the next target. Continue to remove a die for each subsequent target until you have no more damage dice or adversaries. You can't target the same adversary more than once per attack. Letícia Freitas
165;TRANSCENDENT Union;Once per long rest, spend 5 Hope to cast this spell on two or more willing creatures. Until your next rest, when a creature connected by this union would mark Stress or Hit Points, the connected creatures can choose who marks it. Bear Frymire
122;Battle Monster;When you make a successful attack against an adversary, you can mark 4 Stress to force the target to mark a number of Hit Points equal to the number of Hit Points you currently have marked instead of rolling for damage. Geoffrey Ernault
144;Swift step;When an attack made against you fails, clear a Stress. If you can't clear a Stress, gain a Hope. Allan Santos
185;Encore;When an ally within Close range deals damage to an adversary, you can make a Spellcast Roll against that same target. On a success, you deal the same damage to the target that your ally dealt. If your Spellcast Roll succeeds with Fear, place this card in your vault. Mat Wilma
186;Notorious;People know who you are and what you've done, and they treat you differently because of it. When you leverage your notoriety to get what you want, you can mark a Stress before you roll to gain a +10 bonus to the result. Your food and drinks are always free wherever you go, and everything else you buy is reduced in price by one bag of gold (to a minimum of one handful). This card doesn't count against your loadout's domain card maximum of 5 and can't be placed in your vault. Arturo Gutiérrez González
227;Force of Nature;Mark a Stress to transform into a hulking nature spirit, gaining the following beneﬁts: • When you succeed on an attack or Spellcast Roll, gain a +10 bonus to the damage roll. • When you deal enough damage to defeat a creature within Close range, you absorb them and clear an Armor Slot. • You can't be Restrained. Before you make an action roll, you must spend a Hope. If you can't, you revert to your normal form. Carlos C Díaz
249;Resurrection;Make a Spellcast Roll (20). On a success, restore one creature who has been dead no longer than 100 years to full strength. Then roll a d6. On a result of 5 or lower, place this card in your vault permanently. On a failure, you can't cast Resurrection again for a week. Dominik Mayer
206;ECLIPSE;Make a Spellcast Roll (16). Once per long rest on a success, plunge the entire area within Far range into complete darkness only you and your allies can see through. Attack rolls have disadvantage when targeting you or an ally within this shadow. Additionally, when you or an ally succeeds with Hope against an adversary within this shadow, the target must mark a Stress. This spell lasts until the GM spends a Fear on their turn to clear this effect or you take Severe damage. Arturo Gutiérrez González
228;TEMPEST;Choose one of the following tempests and make a Spellcast Roll against all targets within Far range. Targets you succeed against experience its effects until the GM spends a Fear on their turn to end this spell. • Blizzard: Deal 2d20+8 magic damage and targets are temporarily Vulnerable. • Hurricane: Deal 3d10+10 magic damage and choose a direction the wind is blowing. Targets can't move against the wind. • Sandstorm: Deal 5d6+9 magic damage. Attacks made from beyond Melee range have disadvantage. Samantha Kung
269;Unbreakable;When you mark your last Hit Point, instead of making a death move, you can roll a d6 and clear a number of Hit Points equal to the result. Then place this card in your vault. Luísa Costa
207;Specter of the Dark;Mark a Stress to become Spectral until you make an action roll targeting another creature. While Spectral, you're immune to physical damage and can float and pass through solid objects. Other creatures can still see you while you're in this form. Alex Konstad
248;Invigoration;When you or an ally within Close range has used a feature that has an exhaustion limit (such as once per rest or once per session), you can spend any number of Hope and roll that many d6s. If any roll a 6, the feature can be used again. Jenny Tan
270;Unyielding Armor;When you would mark an Armor Slot, roll a number of d6s equal to your Proﬁciency. If any roll a 6, reduce the severity by one threshold without marking an Armor Slot. Samantha Kung
001;Troubadour Foundation;SPELLCAST TRAIT: PRESENCE Gifted Performer: Describe how you perform for others. You can play each song once per long rest: • Relaxing Song: You and all allies within Close range clear a Hit Point. • Epic Song: Make a target within Close range temporarily Vulnerable. • Heartbreaking Song: You and all allies within Close range gain a Hope.
010;WARDEN of Renewal Foundation;SPELLCAST TRAIT: INSTINCT Clarity of Nature: Once per long rest, you can create a space of natural serenity within Close range. When you spend a few minutes resting within the space, clear Stress equal to your Instinct, distributed as you choose between you and your allies. Regeneration: Touch a creature and spend 3 Hope. That creature clears 1d4 Hit Points.
019;BEASTBOUND Foundation;SPELLCAST TRAIT: AGILITY Companion: You have an animal companion of your choice (at the GM's discretion). They stay by your side unless you tell them otherwise. Take the Ranger Companion sheet. When you level up your character, choose a level-up option for your companion from this sheet as well.
004;Wordsmith Foundation;SPELLCAST TRAIT: PRESENCE Rousing Speech: Once per long rest, you can give a heartfelt, inspiring speech. All allies within Far range clear 2 Stress. Heart of a Poet: After you make an action roll to impress, persuade, or offend someone, you can spend a Hope to add a d4 to the roll.
013;Stalwart Foundation;Unwavering: Gain a permanent +1 bonus to your damage thresholds. Iron Will: When you take physical damage, you can mark an additional Armor Slot to reduce the severity.
022;Wayfinder Foundation;SPELLCAST TRAIT: AGILITY Ruthless Predator: When you make a damage roll, you can mark a Stress to gain a +1 bonus to your Proﬁciency. Additionally, when you deal Severe damage to an adversary, they must mark a Stress. Path Forward: When you're traveling to a place you've previously visited or you carry an object that has been at the location before, you can identify the shortest, most direct path to your destination.
007;WARDEN of the Elements Foundation;SPELLCAST TRAIT: INSTINCT Elemental Incarnation: Mark a Stress to Channel one of the following elements until you take Severe damage or until your next rest: • Fire: When an adversary within Melee range deals damage to you, they take 1d10 magic damage. • Earth: Gain a bonus to your damage thresholds equal to your Proﬁciency. • Water: When you deal damage to an adversary within Melee range, all other adversaries within Very Close range must mark a Stress. • Air: You can hover, gaining advantage on Agility Rolls.
016;Vengeance Foundation;At Ease: Gain an additional Stress slot. Revenge: When an adversary within Melee range succeeds on an attack against you, you can mark 2 Stress to force the attacker to mark a Hit Point.
025;Nightwalker Foundation;SPELLCAST TRAIT: FINESSE Shadow Stepper: You can move from shadow to shadow. When you move into an area of darkness or a shadow cast by another creature or object, you can mark a Stress to disappear from where you are and reappear inside another shadow within Far range. When you reappear, you are Cloaked.
028;Syndicate Foundation;SPELLCAST TRAIT: FINESSE Well-Connected: When you arrive in a prominent town or environment, you know somebody who calls this place home. Give them a name, note how you think they could be useful, and choose one fact from the following list: • They owe me a favor, but they'll be hard to ﬁnd. • They're going to ask for something in exchange. • They're always in a great deal of trouble. • We used to be together. It's a long story. • We didn't part on great terms.
037;Elemental Origin Foundation;SPELLCAST TRAIT: INSTINCT Elementalist: Choose one of the following elements at character creation: AIR · EARTH · FIRE · LIGHTNING · WATER You can shape this element into harmless effects. Additionally, spend a Hope and describe how your control over this element helps an action roll you're about to make, then either gain a +2 bonus to the roll or a +3 bonus to the roll's damage.
046;Call of the Slayer Foundation;Slayer: You gain a pool of dice called Slayer Dice. On a roll with Hope, you can place a d6 on this card instead of gaining a Hope, adding the die to the pool. You can store a number of Slayer Dice equal to your Proﬁciency. When you make an attack roll or damage roll, you can spend any number of these Slayer Dice, rolling them and adding their result to the roll. At the end of each session, clear any unspent Slayer Dice on this card and gain a Hope per die cleared.
031;DIVINE WIELDER Foundation;SPELLCAST TRAIT: STRENGTH Spirit Weapon: When you have an equipped weapon with a range of Melee or Very Close, it can fly from your hand to attack an adversary within Close range and then return to you. You can mark a Stress to target an additional adversary within range with the same attack roll. Sparing Touch: Once per long rest, touch a creature and clear 2 Hit Points or 2 Stress from them.
040;Primal Origin Foundation;SPELLCAST TRAIT: INSTINCT Manipulate Magic: Your primal origin allows you to modify the essence of magic itself. After you cast a spell or make an attack using a weapon that deals magic damage, you can mark a Stress to do one of the following: • Extend the spell or attack's reach by one range • Gain a +2 bonus to the action roll's result • Double a damage die of your choice • Hit an additional target within range
049;School of knowledge Foundation;SPELLCAST TRAIT: KNOWLEDGE Prepared: Take an additional domain card of your level or lower from a domain you have access to. Adept: When you Utilize an Experience, you can mark a Stress instead of spending a Hope. If you do, double your Experience modiﬁer for that roll.
034;Winged Sentinel Foundation;SPELLCAST TRAIT: STRENGTH Wings of Light: You can fly. While flying, you can do the following: • Mark a Stress to pick up and carry another willing creature approximately your size or smaller. • Spend a Hope to deal an extra 1d8 damage on a successful attack.
043;Call of the BRAVE Foundation;Courage: When you fail a roll with Fear, you gain a Hope. Battle Ritual: Once per long rest, before you attempt something incredibly dangerous or face off against a foe who clearly outmatches you, describe what ritual you perform or preparations you make. When you do, clear 2 Stress and gain 2 Hope.
052;SCHOOL OF WAR Foundation;SPELLCAST TRAIT: KNOWLEDGE Battlemage: You've focused your studies on becoming an unconquerable force on the battleﬁeld. Gain an additional Hit Point slot. Face Your Fear: When you succeed with Fear on an attack roll, you deal an extra 1d10 magic damage.
002;Troubadour Specialization;Maestro: Your rallying songs steel the courage of those who listen. When you give a Rally Die to an ally, they can gain a Hope or clear a Stress.
011;Warden of Renewal Specialization;Regenerative Reach: You can target creatures within Very Close range with your "Regeneration" feature. Warden's Protection: Once per long rest, spend 2 Hope to clear 2 Hit Points on 1d4 allies within Close range.
020;Beastbound Specialization;Expert Training: Choose an additional level-up option for your companion. Battle-Bonded: When an adversary attacks you while they're within your companion's Melee range, you gain a +2 bonus to your Evasion against the attack.
005;Wordsmith Specialization;Eloquent: Your moving words boost morale. Once per session, when you encourage an ally, you can do one of the following: • Allow them to ﬁnd a mundane object or tool they need. • Help an Ally without spending Hope. • Give them an additional downtime move during their next rest.
014;Stalwart Specialization;Unrelenting: Gain a permanent +2 bonus to your damage thresholds. Partners-in-Arms: When an ally within Very Close range takes damage, you can mark an Armor Slot to reduce the severity by one threshold.
023;Wayfinder Specialization;Elusive Predator: When your Focus makes an attack against you, you gain a +2 bonus to your Evasion against the attack.
008;|Warden OF THE ELEMENTS Specialization;Elemental Aura: Once per rest while Channeling, you can assume an aura matching your element. The aura affects targets within Close range until your Channeling ends. • Fire: When an adversary marks 1 or more Hit Points, they must also mark a Stress. • Earth: Your allies gain a +1 bonus to Strength. • Water: When an adversary deals damage to you, you can mark a Stress to move them anywhere within Very Close range of where they are. • Air: When you or an ally takes damage from an attack beyond Melee range, reduce the damage by 1d8.
017;Vengeance Specialization;Act of Reprisal: When an adversary damages an ally within Melee range, you gain a +1 bonus to your Proﬁciency for the next successful attack you make against that adversary.
026;Nightwalker Specialization; Dark Cloud: Make a Spellcast Roll (15). On a success, create a temporary dark cloud that covers any area within Close range. Anyone in this cloud can't see outside of it, and anyone outside of it can't see in. You're considered Cloaked from any adversary for whom the cloud blocks line of sight. Adrenaline: While you're Vulnerable, add your level to your damage rolls.
029;Syndicate Specialization;Contacts Everywhere: Once per session, you can briefly call on a shady contact. Choose one of the following beneﬁts and describe what brought them here to help you in this moment: • They provide 1 handful of gold, a unique tool, or a mundane object that the situation requires. • On your next action roll, their help provides a +3 bonus to the result of your Hope or Fear Die. • The next time you deal damage, they snipe from the shadows, adding 2d8 to your damage roll.
038;Elemental origin Specialization;Natural Evasion: You can call forth your element to protect you from harm. When an attack roll against you succeeds, you can mark a Stress and describe how you use your element to defend you. When you do, roll a d6 and add its result to your Evasion against the attack.
047;Call of the Slayer Specialization;Weapon Specialist: You can wield multiple weapons with dangerous ease. When you succeed on an attack, you can spend a Hope to add one of the damage dice from your secondary weapon to the damage roll. Additionally, once per long rest when you roll your Slayer Dice, reroll any 1s.
032;DIVINE WIELDER Specialization;Devout: When you roll your Prayer Dice, you can roll an additional die and discard the lowest result. Additionally, you can use your "Sparing Touch" feature twice instead of once per long rest.
041;Primal origin Specialization;Enchanted Aid: You can enhance the magic of others with your essence. When you Help an Ally with a Spellcast Roll, you can roll a d8 as your advantage die. Once per long rest, after an ally has made a Spellcast Roll with your help, you can swap the results of their Duality Dice.
050;SCHOOL OF KNOWLEDGE Specialization;Accomplished: Take an additional domain card of your level or lower from a domain you have access to. Perfect Recall: Once per rest, when you recall a domain card in your vault, you can reduce its Recall Cost by 1.
035;Winged SEntinel Specialization;Ethereal Visage: Your supernatural visage strikes awe and fear. While flying, you have advantage on Presence Rolls. When you succeed with Hope on a Presence Roll, you can remove a Fear from the GM's Fear pool instead of gaining Hope.
044;Call of the BRAVE Specialization;Rise to the Challenge: You are vigilant in the face of mounting danger. While you have 2 or fewer Hit Points unmarked, you can roll a d20 as your Hope Die.
053;SCHOOL OF WAR Specialization;Conjure Shield: You can maintain a protective barrier of magic. While you have at least 2 Hope, you add your Proﬁciency to your Evasion. Fueled by Fear: The extra magic damage from your "Face Your Fear" feature increases to 2d10.
003;Troubadour Mastery;Virtuoso: You are among the greatest of your craft and your skill is boundless. You can perform each of your "Gifted Performer" feature's songs twice instead of once per long rest.
012;Warden of Renewal Mastery;Defender: Your animal transformation embodies a healing guardian spirit. When you're in Beastform and an ally within Close range marks 2 or more Hit Points, you can mark a Stress to reduce the number of Hit Points they mark by 1.
021;Beastbound Mastery;Advanced Training: Choose two additional level-up options for your companion. Loyal Friend: Once per long rest, when the damage from an attack would mark your companion's last Stress or your last Hit Point and you're within Close range of each other, you or your companion can rush to the other's side and take that damage instead.
006;Wordsmith Mastery;Epic Poetry: Your Rally Die increases to a d10. Additionally, when you Help an Ally, you can narrate the moment as if you were writing the tale of their heroism in a memoir. When you do, roll a d10 as your advantage die.
015;Stalwart Mastery;Undaunted: Gain a permanent +3 bonus to your damage thresholds. Loyal Protector: When an ally within Close range has 2 or fewer Hit Points and would take damage, you can mark a Stress to sprint to their side and take the damage instead.
024;Wayfinder Mastery;Apex Predator: Before you make an attack roll against your Focus, you can spend a Hope. On a successful attack, you remove a Fear from the GM's Fear pool.
009;Warden OF THE ELEMENTS Mastery;Elemental Dominion: You further embody your element. While Channeling, you gain the following beneﬁt: • Fire: You gain a +1 bonus to your Proﬁciency for attacks and spells that deal damage. • Earth: When you would mark Hit Points, roll a d6 per Hit Point marked. For each result of 6, reduce the number of Hit Points you mark by 1. • Water: When an attack against you succeeds, you can mark a Stress to make the attacker temporarily Vulnerable. • Air: You gain a +1 bonus to your Evasion and can fly.
018;Vengeance Mastery;Nemesis: Spend 2 Hope to Prioritize an adversary until your next rest. When you make an attack against your Prioritized adversary, you can swap the results of your Hope and Fear Dice. You can only Prioritize one adversary at a time.
027;Nightwalker Mastery;Fleeting Shadow: Gain a permanent +1 bonus to your Evasion. You can use your "Shadow Stepper" feature to move within Very Far range. Vanishing Act: Mark a Stress to become Cloaked at any time. When Cloaked from this feature, you automatically clear the Restrained condition if you have it. You remain Cloaked in this way until you roll with Fear or until your next rest.
030;Syndicate Mastery;Reliable Backup: You can use your "Contacts Everywhere" feature three times per session. The following options are added to the list of beneﬁts you can choose from when you use that feature: • When you mark 1 or more Hit Points, they can rush out to shield you, reducing the Hit Points marked by 1. • When you make a Presence Roll in conversation, they back you up. You can roll a d20 as your Hope Die.
039;Elemental Origin Mastery;Transcendence: Once per long rest, you can transform into a physical manifestation of your element. When you do, describe your transformation and choose two of the following beneﬁts to gain until your next rest: • +4 bonus to your Severe threshold • +1 bonus to a character trait of your choice • +1 bonus to your Proﬁciency • +2 bonus to your Evasion
048;Call OF THE SLAYER Mastery;Martial Preparation: You're an inspirational warrior to all who travel with you. Your party gains access to the Martial Preparation downtime move. To use this move during a rest, describe how you instruct and train with your party. You and each ally who chooses this downtime move gain a d6 Slayer Die. A PC with a Slayer Die can spend it to roll the die and add the result to an attack or damage roll of their choice.
033;DIVINE WIELDER Mastery;Sacred Resonance: When you roll damage for your "Spirit Weapon" feature, if any of the die results match, double the value of each matching die. For example, if you roll two 5s, they count as two 10s.
042;Primal Origin Mastery;Arcane Charge: You can gather magical energy to enhance your capabilities. When you take magic damage, you become Charged. Alternatively, you can spend 2 Hope to become Charged. When you successfully make an attack that deals magic damage while Charged, you can clear your Charge to either gain a +10 bonus to the damage roll or gain a +3 bonus to the Difficulty of a reaction roll the spell causes the target to make. You stop being Charged at your next long rest.
051;SCHOOL OF KNOWLEDGE Mastery;Brilliant: Take an additional domain card of your level or lower from a domain you have access to. Honed Expertise: When you use an Experience, roll a d6. On a result of 5 or higher, you can use it without spending Hope.
036;Winged SEntinel Mastery;Ascendant: Gain a permanent +4 bonus to your Severe damage threshold. Power of the Gods: While flying, you deal an extra 1d12 damage instead of 1d8 from your "Wings of Light" feature.
